species.key,bwgname,category_range,measurement,name,value
4676,Diptera.10,category,larva_average,211,0
4676,Diptera.10,category,larva_average,216,0
4676,Diptera.10,category,larva_average,221,0
4676,Diptera.10,category,larva_average,226,0
4676,Diptera.10,category,larva_average,231,0
4676,Diptera.10,category,larva_average,236,0
4676,Diptera.10,category,larva_average,241,0
4676,Diptera.10,category,larva_average,246,0
4676,Diptera.10,category,larva_average,251,0
4676,Diptera.10,category,larva_average,256,0
4676,Diptera.10,category,larva_average,261,0
4676,Diptera.10,category,larva_average,266,0
4676,Diptera.10,category,larva_average,271,0
4676,Diptera.10,category,larva_average,276,0
4676,Diptera.10,category,larva_average,281,0
4676,Diptera.10,category,larva_average,286,1
4676,Diptera.10,category,larva_average,291,0
4676,Diptera.10,category,larva_average,296,0
4676,Diptera.10,category,larva_average,301,0
4676,Diptera.10,category,larva_average,306,0
4676,Diptera.10,category,larva_average,311,0
4676,Diptera.10,category,larva_average,316,0
4676,Diptera.10,category,larva_average,321,0
4676,Diptera.10,category,larva_average,326,0
4676,Diptera.10,category,larva_average,331,0
4676,Diptera.10,category,larva_average,12626,NA
3431,Diptera.7,category,larva_average,211,0
3431,Diptera.7,category,larva_average,216,0
3431,Diptera.7,category,larva_average,221,0
3431,Diptera.7,category,larva_average,226,0
3431,Diptera.7,category,larva_average,231,1
3431,Diptera.7,category,larva_average,236,0
3431,Diptera.7,category,larva_average,241,0
3431,Diptera.7,category,larva_average,246,0
3431,Diptera.7,category,larva_average,251,0
3431,Diptera.7,category,larva_average,256,0
3431,Diptera.7,category,larva_average,261,0
3431,Diptera.7,category,larva_average,266,0
3431,Diptera.7,category,larva_average,271,0
3431,Diptera.7,category,larva_average,276,0
3431,Diptera.7,category,larva_average,281,0
3431,Diptera.7,category,larva_average,286,0
3431,Diptera.7,category,larva_average,291,0
3431,Diptera.7,category,larva_average,296,0
3431,Diptera.7,category,larva_average,301,0
3431,Diptera.7,category,larva_average,306,0
3431,Diptera.7,category,larva_average,311,0
3431,Diptera.7,category,larva_average,316,0
3431,Diptera.7,category,larva_average,321,0
3431,Diptera.7,category,larva_average,326,0
3431,Diptera.7,category,larva_average,331,0
3431,Diptera.7,category,larva_average,12626,NA
3436,Diptera.184,category,larva_11mm,211,0
3436,Diptera.184,category,larva_11mm,216,0
3436,Diptera.184,category,larva_11mm,221,0
3436,Diptera.184,category,larva_11mm,226,0
3436,Diptera.184,category,larva_11mm,231,0
3436,Diptera.184,category,larva_11mm,236,0
3436,Diptera.184,category,larva_11mm,241,0
3436,Diptera.184,category,larva_11mm,246,0
3436,Diptera.184,category,larva_11mm,251,0
3436,Diptera.184,category,larva_11mm,256,0
3436,Diptera.184,category,larva_11mm,261,0
3436,Diptera.184,category,larva_11mm,266,0
3436,Diptera.184,category,larva_11mm,271,0
3436,Diptera.184,category,larva_11mm,276,0
3436,Diptera.184,category,larva_11mm,281,2
3436,Diptera.184,category,larva_11mm,286,1
3436,Diptera.184,category,larva_11mm,291,0
