dataset_id,species_id,bwg_name,brm,abundance
6,3431,Diptera.7,211,0
6,3431,Diptera.7,216,0
6,3431,Diptera.7,221,0
6,3431,Diptera.7,226,0
6,3431,Diptera.7,231,1
6,3431,Diptera.7,236,0
6,3431,Diptera.7,241,0
6,3431,Diptera.7,246,0
6,3431,Diptera.7,251,0
6,3431,Diptera.7,256,0
6,3431,Diptera.7,261,0
6,3431,Diptera.7,266,0
6,3431,Diptera.7,271,0
6,3431,Diptera.7,276,0
6,3431,Diptera.7,281,0
6,3431,Diptera.7,286,0
6,3431,Diptera.7,291,0
6,3431,Diptera.7,296,0
6,3431,Diptera.7,301,0
6,3431,Diptera.7,306,0
6,3431,Diptera.7,311,0
6,3431,Diptera.7,316,0
6,3431,Diptera.7,321,0
6,3431,Diptera.7,326,0
6,3431,Diptera.7,331,0
6,3436,Diptera.184,211,0
6,3436,Diptera.184,216,0
6,3436,Diptera.184,221,0
6,3436,Diptera.184,226,0
6,3436,Diptera.184,231,0
6,3436,Diptera.184,236,0
6,3436,Diptera.184,241,0
6,3436,Diptera.184,246,0
6,3436,Diptera.184,251,0
6,3436,Diptera.184,256,0
6,3436,Diptera.184,261,0
6,3436,Diptera.184,266,0
6,3436,Diptera.184,271,0
6,3436,Diptera.184,276,0
6,3436,Diptera.184,281,2
6,3436,Diptera.184,286,1
6,3436,Diptera.184,291,0
6,3436,Diptera.184,296,0
6,3436,Diptera.184,301,0
6,3436,Diptera.184,306,0
6,3436,Diptera.184,311,0
6,3436,Diptera.184,316,0
6,3436,Diptera.184,321,0
6,3436,Diptera.184,326,0
6,3436,Diptera.184,331,0
6,3471,Diptera.30,211,0
6,3471,Diptera.30,216,0
6,3471,Diptera.30,221,0
6,3471,Diptera.30,226,0
6,3471,Diptera.30,231,0
6,3471,Diptera.30,236,0
6,3471,Diptera.30,241,0
6,3471,Diptera.30,246,3
6,3471,Diptera.30,251,1
6,3471,Diptera.30,256,1
6,3471,Diptera.30,261,0
6,3471,Diptera.30,266,3
6,3471,Diptera.30,271,2
6,3471,Diptera.30,276,0
6,3471,Diptera.30,281,2
6,3471,Diptera.30,286,1
6,3471,Diptera.30,291,0
6,3471,Diptera.30,296,0
6,3471,Diptera.30,301,0
